site,category,NZTMX,NZTMY,CwmsName
1741,Some Days on Restriction,1500088.0,5120190.0,Ashburton
1809,Some Days on Restriction,1484833.0,5123392.0,Ashburton
1840,Some Days on Restriction,1365905.0,5055106.0,Upper Waitaki
1958,Not on Restriction,1490369.0,5121831.0,Ashburton
1995,Not on Restriction,1567201.0,5174490.0,Christchurch - West Melton
2024,Not on Restriction,1563802.0,5171991.0,Selwyn - Waihora
206,Not on Restriction,1529216.0,5152194.0,Selwyn - Waihora
2150,Not on Restriction,1444222.0,5144001.0,Orari-Temuka-Opihi-Pareora
2179,Not on Restriction,1598148.0,5163409.0,Banks Peninsula
2240,Some Days on Restriction,1478478.0,5110094.0,Orari-Temuka-Opihi-Pareora
2273,Not on Restriction,1659278.0,5315528.0,Kaikoura
2280,Some Days on Restriction,1380944.0,5083752.0,Upper Waitaki
2303,Not on Restriction,1491714.0,5114806.0,Ashburton
2306,Not on Restriction,1489325.0,5113036.0,Ashburton
2307,Not on Restriction,1488939.0,5112529.0,Ashburton
2312,Not on Restriction,1486030.0,5110628.0,Ashburton
2314,Not on Restriction,1485044.0,5109813.0,Ashburton
2316,Some Days on Restriction,1482744.0,5110027.0,Ashburton
2371,Not on Restriction,1386831.0,5059955.0,Upper Waitaki
2392,Some Days on Restriction,1502829.0,5123897.0,Ashburton
2399,Some Days on Restriction,1497731.0,5119197.0,Ashburton
253,Some Days on Restriction,1573098.0,5210676.0,Waimakariri
266401,Some Days on Restriction,1571827.0,5193101.0,Christchurch - West Melton
270,Not on Restriction,1556104.0,5204379.0,Waimakariri
279,Some Days on Restriction,1569499.0,5203179.0,Waimakariri
339,All Days on Restriction,1567800.0,5202979.0,Waimakariri
342,Not on Restriction,1640683.0,5305735.0,Kaikoura
343,All Days on Restriction,1568100.0,5198981.0,Waimakariri
361,Not on Restriction,1569499.0,5195182.0,Waimakariri
370,Not on Restriction,1570399.0,5197581.0,Waimakariri
371,Not on Restriction,1570499.0,5193183.0,Waimakariri
382,Not on Restriction,1572398.0,5187785.0,Christchurch - West Melton
389,Some Days on Restriction,1574588.0,5206928.0,Waimakariri
421,All Days on Restriction,1547409.0,5158794.0,Selwyn - Waihora
425,Not on Restriction,1548309.0,5153896.0,Selwyn - Waihora
428,Some Days on Restriction,1549789.0,5156245.0,Selwyn - Waihora
429,Not on Restriction,1550008.0,5163093.0,Selwyn - Waihora
431,Some Days on Restriction,1550808.0,5163793.0,Selwyn - Waihora
435,Some Days on Restriction,1555506.0,5160094.0,Selwyn - Waihora
454,Not on Restriction,1563003.0,5161594.0,Selwyn - Waihora
457,Not on Restriction,1563702.0,5171891.0,Selwyn - Waihora
46,Not on Restriction,1452145.0,5098985.0,Orari-Temuka-Opihi-Pareora
482,Not on Restriction,1576018.0,5166473.0,Banks Peninsula
493,All Days on Restriction,1548411.0,5143600.0,Selwyn - Waihora
513,Not on Restriction,1589992.0,5164095.0,Banks Peninsula
523,Some Days on Restriction,1594470.0,5155829.0,Banks Peninsula
537,Some Days on Restriction,1600087.0,5163696.0,Banks Peninsula
549,Not on Restriction,1583495.0,5151700.0,Banks Peninsula
576,Not on Restriction,1645782.0,5311532.0,Kaikoura
627,Some Days on Restriction,1551407.0,5164392.0,Selwyn - Waihora
63001,Some Days on Restriction,1655776.0,5306412.0,Kaikoura
63101,Not on Restriction,1655977.0,5309037.0,Kaikoura
632,Some Days on Restriction,1592791.0,5154700.0,Banks Peninsula
64304,Some Days on Restriction,1634222.0,5283643.0,Hurunui - Waiau
646,Some Days on Restriction,1544711.0,5151196.0,Selwyn - Waihora
64602,Some Days on Restriction,1581469.0,5278543.0,Hurunui - Waiau
648,Not on Restriction,1545311.0,5150397.0,Selwyn - Waihora
65101,Some Days on Restriction,1607705.0,5250954.0,Hurunui - Waiau
65104,Some Days on Restriction,1562505.0,5262359.0,Hurunui - Waiau
65106,Some Days on Restriction,1561475.0,5255032.0,Hurunui - Waiau
65110,Not on Restriction,1574002.0,5267157.0,Hurunui - Waiau
65120,Not on Restriction,1593892.328,5246061.591,Hurunui - Waiau
653,Some Days on Restriction,1594696.0,5279750.0,Hurunui - Waiau
65901,Some Days on Restriction,1568639.0,5232082.0,Hurunui - Waiau
66,Some Days on Restriction,1467094.0,5097941.0,Orari-Temuka-Opihi-Pareora
66204,Some Days on Restriction,1536411.0,5213276.0,Waimakariri
66213,Some Days on Restriction,1550282.0,5223227.0,Waimakariri
66215,Some Days on Restriction,1575797.0,5206178.0,Waimakariri
66409,Some Days on Restriction,1570119.6,5201698.1,Waimakariri
66417,Not on Restriction,1568559.0,5198782.0,Waimakariri
66425,Not on Restriction,1571725.0,5187422.0,Christchurch - West Melton
66432,Not on Restriction,1571299.0,5194382.0,Waimakariri
66602,Some Days on Restriction,1570449.0,5180283.0,Christchurch - West Melton
67408,Not on Restriction,1592395.0,5152831.0,Banks Peninsula
67702,Some Days on Restriction,1574399.0,5154998.0,Selwyn - Waihora
67801,Not on Restriction,1565403.0,5157696.0,Selwyn - Waihora
67802,Not on Restriction,1560804.0,5164593.0,Selwyn - Waihora
67804,Not on Restriction,1564402.0,5171691.0,Selwyn - Waihora
68001,Some Days on Restriction,1510512.0,5187228.0,Selwyn - Waihora
68002,Some Days on Restriction,1552643.0,5161694.0,Selwyn - Waihora
68005,Some Days on Restriction,1505709.0,5196450.0,Selwyn - Waihora
68322,Some Days on Restriction,1546790.0,5150427.0,Selwyn - Waihora
68401,Not on Restriction,1542363.0,5144608.0,Selwyn - Waihora
68517,Not on Restriction,1482223.0,5200079.0,Selwyn - Waihora
6852602,Some Days on Restriction,1489623.0,5181983.0,Ashburton
68801,Some Days on Restriction,1499837.0,5135284.0,Ashburton
68810,Some Days on Restriction,1478046.0,5174123.0,Ashburton
