SwazName,use_type,date,sw_allo,gw_allo,total_allo,sw_metered_allo,gw_metered_allo,total_metered_allo,sw_restr_allo,gw_restr_allo,total_restr_allo,restr_ratio,sw_metered_restr_allo,gw_metered_restr_allo,total_metered_restr_allo,total_usage,sw_usage,gw_usage
OShea,irrigation,2014-06-30,22790906.10884106,665803.6411589405,23456709.75,22567153.09143626,529104.6112748345,23096257.70271109,22379216.5751237,665803.6411589405,23045020.216282643,90.59930875576036,22155463.5577189,529104.6112748345,22684568.168993738,13126941.659460664,13014652.68000918,112288.9794514835
OShea,irrigation,2015-06-30,22805597.72884106,666258.0211589405,23471855.75,22540708.933311258,485485.07827814575,23026194.011589404,15755414.142819555,666258.0211589405,16421672.163978497,84.14516129032259,15490525.347289754,485485.07827814575,15976010.425567899,15885902.312079681,15676369.997528566,209532.31455111483
OShea,irrigation,2016-06-30,21675506.665856786,667116.787268212,22342623.453125,834059.9153269868,396774.85567880794,1230834.7710057949,15712062.273902766,667116.787268212,16379179.061170977,84.21149425287356,762135.9791200903,396774.85567880794,1158910.834798898,893822.5,452560.91000000003,441261.5899999999
OShea,irrigation,2017-06-30,41593914.108841054,665803.6411589405,42259717.75,40813201.04112583,448217.6989403974,41261418.74006622,40123961.039204605,665803.6411589405,40789764.68036355,93.27854582693294,39343247.97148938,448217.6989403974,39791465.67042977,6851521.180076554,6672952.365076556,178568.8149999991
OShea,irrigation,2018-06-30,56995097.00884106,669868.7411589405,57664965.75,56765952.19076159,480372.62877483456,57246324.819536425,56995097.00884106,669868.7411589405,57664965.75,100.0,56765952.19076159,480372.62877483456,57246324.819536425,12674724.0,12401821.83,272902.1699999999
Pudding Hill,stockwater,2013-06-30,5818540.484641639,0.0,5818540.484641639,5669608.484641639,0.0,5669608.484641639,5818540.484641639,0.0,5818540.484641639,12.0,5669608.484641639,0.0,5669608.484641639,5981120.103515625,5981120.103515625,0.0
Pudding Hill,stockwater,2014-06-30,3161528.9999999995,0.0,3161528.9999999995,1306652.1666666665,0.0,1306652.1666666665,3161528.9999999995,0.0,3161528.9999999995,14.0,1306652.1666666665,0.0,1306652.1666666665,2132249.4116210938,2132249.4116210938,0.0
Pudding Hill,stockwater,2015-06-30,3161528.9999999995,0.0,3161528.9999999995,1704328.833333333,0.0,1704328.833333333,3161528.9999999995,0.0,3161528.9999999995,14.0,1704328.833333333,0.0,1704328.833333333,2727334.125,2727334.125,0.0
Pudding Hill,stockwater,2016-06-30,3167764.1666666665,0.0,3167764.1666666665,0.0,0.0,0.0,3167764.1666666665,0.0,3167764.1666666665,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Pudding Hill,stockwater,2017-06-30,3161528.9999999995,0.0,3161528.9999999995,2721243.9999999995,0.0,2721243.9999999995,3161528.9999999995,0.0,3161528.9999999995,14.0,2721243.9999999995,0.0,2721243.9999999995,3209292.8696289062,3209292.8696289062,0.0
Pudding Hill,stockwater,2018-06-30,3161528.9999999995,0.0,3161528.9999999995,3161528.9999999995,0.0,3161528.9999999995,3161528.9999999995,0.0,3161528.9999999995,14.0,3161528.9999999995,0.0,3161528.9999999995,2953059.0,2953059.0,0.0
South Branch,irrigation,2013-06-30,136647119.67381546,13750705.790470323,150397825.4642857,132192742.01113382,8785972.817587366,140978714.8287212,120206863.64283727,13744980.015841672,133951843.65867895,515.3125192012292,115875657.49784963,8781081.968813173,124656739.46666281,46884474.95367946,42874147.94102866,4010327.0126507916
South Branch,irrigation,2014-06-30,136679204.64622593,14158080.818059813,150837285.46428567,132963350.06388704,9732803.049703244,142696153.11359027,133901231.71339445,14156676.826467263,148057908.5398617,541.1798003072195,130199866.32897076,9731556.422714766,139931422.75168544,42162969.758855164,38253603.37143218,3909366.387422984
South Branch,irrigation,2015-06-30,137082064.25731394,15110592.120879114,152192656.37819302,133672069.89958751,9013713.261368386,142685783.16095582,93957387.5454183,15089109.537801156,109046497.08321947,529.901006997781,90822463.88415699,9000900.695535054,99823364.57969198,49082404.83633821,44908270.212826766,4174134.6235114415
South Branch,irrigation,2016-06-30,136987746.6295302,16741573.008123573,153729319.6376537,76916572.71158935,13082426.216879984,89998998.92846933,94246157.99479738,16718762.127385069,110964920.12218238,584.2664812754913,47423105.867464125,13062327.348194223,60485433.21565835,12792879.110461546,8334293.965235954,4458585.145225593
South Branch,irrigation,2017-06-30,136253266.99474058,14924388.264720168,151177655.25946072,133736287.99672906,11675383.191370657,145411671.1880998,132509865.03530891,14915746.965319246,147425612.00062808,580.852534562212,130010249.90596104,11666741.891969735,141676991.79793078,21571107.981642947,17874361.016527724,3696746.9651152226
